No	ark_detalletranvtas	No	SDetalleVtas	Sistema	Values
1	dtv_Idauto	NO APLICA		Auto Incremental	?,
2	dtv_uo_id	NO APLICA		uo_id	?,
3	dtv_uo_Codigo	NO APLICA		ark_unds_operativas.uo_Codigo	?,
4	dtv_tipooperacion	1	FDI_TIPOOPERACION		?,
5	dtv_codigo	2	FDI_CODIGO		?,
6	dtv_linea	3	FDI_LINEA		?,
7	dtv_documento	4	FDI_DOCUMENTO		?,
8	dtv_autoincrement	5	FDI_AUTOINCREMENT		?,
9	dtv_clienteproveedor	6	FDI_CLIENTEPROVEEDOR		?,
10	dtv_documentoorigen	7	FDI_DOCUMENTOORIGEN		?,
11	dtv_lineaorigen	8	FDI_LINEAORIGEN		?,
12	dtv_clasificacion	9	FDI_CLASIFICACION		?,
13	dtv_status	10	FDI_STATUS		?,
14	dtv_visible	11	FDI_VISIBLE		?,
15	dtv_costo	12	FDI_COSTO		?,
16	dtv_cantidad	13	FDI_CANTIDAD		?,
17	dtv_cantidadpendiente	14	FDI_CANTIDADPENDIENTE		?,
18	dtv_lote	15	FDI_LOTE		?,
19	dtv_loterandom	16	FDI_LOTERANDOM		?,
20	dtv_newlote	17	FDI_NEWLOTE		?,
21	dtv_depositosource	18	FDI_DEPOSITOSOURCE		?,
22	dtv_depositotarget	19	FDI_DEPOSITOTARGET		?,
23	dtv_operacion_autoincrement	20	FDI_OPERACION_AUTOINCREMENT		?,
24	dtv_decimales	21	FDI_DECIMALES		?,
25	dtv_decimalespen	22	FDI_DECIMALESPEN		?,
26	dtv_serialnumber	23	FDI_SERIALNUMBER		?,
27	dtv_usaseriales	24	FDI_USASERIALES		?,
28	dtv_usadepositos	25	FDI_USADEPOSITOS		?,
29	dtv_costooperacion	26	FDI_COSTOOPERACION		?,
30	dtv_memodetalle	27	FDI_MEMODETALLE		?,
31	dtv_moneda	28	FDI_MONEDA		?,
32	dtv_factorcambio	29	FDI_FACTORCAMBIO		?,
33	dtv_detallecostosimportacion	30	FDI_DETALLECOSTOSIMPORTACION		?,
34	dtv_detalleplanillaimportacion	31	FDI_DETALLEPLANILLAIMPORTACION		?,
35	dtv_existedetalleimportacion	32	FDI_EXISTEDETALLEIMPORTACION		?,
36	dtv_existedetalledecostos	33	FDI_EXISTEDETALLEDECOSTOS		?,
37	dtv_alicuotafleteotros	34	FDI_ALICUOTAFLETEOTROS		?,
38	dtv_impuesto1	35	FDI_IMPUESTO1		?,
39	dtv_porcentimpuesto1	36	FDI_PORCENTIMPUESTO1		?,
40	dtv_montoimpuesto1	37	FDI_MONTOIMPUESTO1		?,
41	dtv_impuesto2	38	FDI_IMPUESTO2		?,
42	dtv_porcentimpuesto2	39	FDI_PORCENTIMPUESTO2		?,
43	dtv_montoimpuesto2	40	FDI_MONTOIMPUESTO2		?,
44	dtv_origenprice	41	FDI_ORIGENPRICE		?,
45	dtv_porcentdescparcial	42	FDI_PORCENTDESCPARCIAL		?,
46	dtv_descuentoparcial	43	FDI_DESCUENTOPARCIAL		?,
47	dtv_preciosindescuento	44	FDI_PRECIOSINDESCUENTO		?,
48	dtv_preciocondescuento	45	FDI_PRECIOCONDESCUENTO		?,
49	dtv_preciodeventa	46	FDI_PRECIODEVENTA		?,
