Source Inventory Table Structure SDetalleCompra		Destination Inventory Table Structure ark_detalletrancomp
Column name	Data type	Column name	Data type
FDI_TIPOOPERACION	AUTOINC NOT NULL	dtc_tipooperacion	INTEGER NOT NULL
FDI_CODIGO	VARCHAR(40) NOT NULL	dtc_codigo	TEXT NOT NULL
FDI_LINEA	AUTOINC NOT NULL	dtc_linea	INTEGER NOT NULL
FDI_DOCUMENTO	VARCHAR(30) NOT NULL	dtc_documento	TEXT NOT NULL
FDI_AUTOINCREMENT	AUTOINC NOT NULL	dtc_autoincrement	INTEGER NOT NULL
FDI_CLIENTEPROVEEDOR	VARCHAR(40)	dtc_clienteproveedor	TEXT
FDI_TIPODOCUMENTOORIGEN	SMALLINT	dtc_tipodocumentoorigen	INTEGER
FDI_STATUSDOCUMENTOORIGEN	SMALLINT	dtc_statusdocumentoorigen	INTEGER
FDI_DOCUMENTOORIGEN	VARCHAR(20)	dtc_documentoorigen	TEXT
FDI_LINEAORIGEN	AUTOINC	dtc_lineaorigen	INTEGER
FDI_CLASIFICACION	AUTOINC	dtc_clasificacion	INTEGER
FDI_STATUS	AUTOINC	dtc_status	INTEGER
FDI_VISIBLE	BOOLEAN	dtc_visible	INTEGER
FDI_COSTO	FLOAT	dtc_costo	REAL
FDI_CANTIDAD	FLOAT	dtc_cantidad	REAL
FDI_CANTIDADPENDIENTE	FLOAT	dtc_cantidadpendiente	REAL
FDI_LOTE	VARCHAR(100)	dtc_lote	TEXT
FDI_LOTERANDOM	AUTOINC	dtc_loterandom	INTEGER
FDI_NEWLOTE	BOOLEAN	dtc_newlote	INTEGER
FDI_DEPOSITOSOURCE	AUTOINC	dtc_depositosource	INTEGER
FDI_DEPOSITOTARGET	AUTOINC	dtc_depositotarget	INTEGER
FDI_OPERACION_AUTOINCREMENT	AUTOINC	dtc_operacion_autoincrement	INTEGER
FDI_DECIMALES	BOOLEAN	dtc_decimales	INTEGER
FDI_DECIMALESPEN	BOOLEAN	dtc_decimalespen	INTEGER
FDI_SERIALNUMBER	AUTOINC	dtc_serialnumber	INTEGER
FDI_USASERIALES	BOOLEAN	dtc_usaseriales	INTEGER
FDI_USADEPOSITOS	BOOLEAN	dtc_usadepositos	INTEGER
FDI_COSTOOPERACION	FLOAT	dtc_costooperacion	REAL
FDI_MEMODETALLE	LONGVARCHAR	dtc_memodetalle	TEXT
FDI_MONEDA	AUTOINC	dtc_moneda	INTEGER
FDI_FACTORCAMBIO	FLOAT	dtc_factorcambio	REAL
FDI_DETALLECOSTOSIMPORTACIO	LONGVARBINARY	dtc_detallecostosimportacio	TEXT
FDI_DETALLEPLANILLAIMPORTAC	LONGVARBINARY	dtc_detalleplanillaimportac	TEXT
FDI_EXISTEDETALLEIMPORTACIO	BOOLEAN	dtc_existedetalleimportacio	INTEGER
FDI_EXISTEDETALLEDECOSTOS	BOOLEAN	dtc_existedetalledecostos	INTEGER
FDI_ALICUOTAFLETEOTROS	FLOAT	dtc_alicuotafleteotros	REAL
FDI_IMPUESTO1	FLOAT	dtc_impuesto1	REAL
FDI_PORCENTIMPUESTO1	BOOLEAN	dtc_porcentimpuesto1	INTEGER
FDI_MONTOIMPUESTO1	FLOAT	dtc_montoimpuesto1	REAL
FDI_IMPUESTO2	FLOAT	dtc_impuesto2	REAL
FDI_PORCENTIMPUESTO2	BOOLEAN	dtc_porcentimpuesto2	INTEGER
FDI_MONTOIMPUESTO2	FLOAT	dtc_montoimpuesto2	REAL
FDI_ORIGENPRICE	AUTOINC	dtc_origenprice	INTEGER
FDI_PORCENTDESCPARCIAL	FLOAT	dtc_porcentdescparcial	REAL
FDI_DESCUENTOPARCIAL	FLOAT	dtc_descuentoparcial	REAL
FDI_PRECIOSINDESCUENTO	FLOAT	dtc_preciosindescuento	REAL
FDI_PRECIOCONDESCUENTO	FLOAT	dtc_preciocondescuento	REAL
FDI_PRECIODEVENTA	FLOAT	dtc_preciodeventa	REAL
FDI_ROUNDDESCTPARCIAL	AUTOINC	dtc_rounddesctparcial	INTEGER
FDI_COMISIONFIJA	FLOAT	dtc_comisionfija	REAL
FDI_COMISIONFIJAP	BOOLEAN	dtc_comisionfijap	INTEGER
FDI_UNDDESCARGA	FLOAT	dtc_unddescarga	REAL
FDI_UNDCAPACIDAD	FLOAT	dtc_undcapacidad	REAL
FDI_UNDDETALLADA	BOOLEAN	dtc_unddetallada	INTEGER
FDI_INDEXPRICES	AUTOINC	dtc_indexprices	INTEGER
FDI_PARTESUSANSERIALES	BOOLEAN	dtc_partesusanseriales	INTEGER
FDI_COSTODEVENTAS	FLOAT	dtc_costodeventas	REAL
FDI_DESCRIPCIONOFERTA	VARCHAR(100)	dtc_descripcionoferta	TEXT
FDI_VENDEDORASIGNADO	VARCHAR(50)	dtc_vendedorasignado	TEXT
FDI_MONTOCOMISION	FLOAT	dtc_montocomision	REAL
FDI_PRECIOBASECOMISION	FLOAT	dtc_preciobasecomision	REAL
FDI_COMISIONBLOQUEADA	BOOLEAN	dtc_comisionbloqueada	INTEGER
FDI_COMISIONYAPAGADA	BOOLEAN	dtc_comisionyapagada	INTEGER
FDI_DOCUMENTOLIBERACION	VARCHAR(20)	dtc_documentoliberacion	TEXT
FDI_TIPODECOMISION	AUTOINC	dtc_tipodecomision	INTEGER
FDI_PRICEFORCOMISION	AUTOINC	dtc_priceforcomision	INTEGER
FDI_FECHAOPERACION	DATE	dtc_fechaoperacion	TEXT
FDI_USER	AUTOINC	dtc_user	INTEGER
FDI_PORCENTDESCUENTO1	FLOAT	dtc_porcentdescuento1	REAL
FDI_PORCENTDESCUENTO2	FLOAT	dtc_porcentdescuento2	REAL
FDI_COSTOSUPDATE	BOOLEAN	dtc_costosupdate	INTEGER
BASE_AUTOINCREMENT	AUTOINC	base_autoincrement	INTEGER
FDI_TOTALPESO	FLOAT	dtc_totalpeso	REAL
FDI_CTOCOSTO	AUTOINC	dtc_ctocosto	INTEGER
FDI_AUTORIZADO	VARCHAR(10)	dtc_autorizado	TEXT
FDI_MARKPERIODO	BOOLEAN	dtc_markperiodo	INTEGER
FDI_CTOCOSTOSTR	VARCHAR(30)	dtc_ctocostostr	TEXT
FDI_COSTOACTUALNACIONAL	FLOAT	dtc_costoactualnacional	REAL
FDI_COSTOACTUALEXT	FLOAT	dtc_costoactualext	REAL
FDI_PREFIXINVENTARIO	VARCHAR(10)	dtc_prefixinventario	TEXT
FDI_COSTOAJUSTADO	FLOAT	dtc_costoajustado	REAL
FDI_FECHALIBRO	DATE	dtc_fechalibro	TEXT
