Source Inventory Table Structure SDetalleInv		Destination Inventory Table Structure ark_detalletraninv
Column name	Data type	Column name	Data type
FDI_TIPOOPERACION	AUTOINC NOT NULL	dti_tipooperacion	INTEGER NOT NULL
FDI_CODIGO	VARCHAR(40) NOT NULL	dti_codigo	TEXT NOT NULL
FDI_LINEA	AUTOINC NOT NULL	dti_linea	INTEGER NOT NULL
FDI_DOCUMENTO	VARCHAR(30) NOT NULL	dti_documento	TEXT NOT NULL
FDI_AUTOINCREMENT	AUTOINC NOT NULL	dti_autoincrement	INTEGER NOT NULL
FDI_CLIENTEPROVEEDOR	VARCHAR(40)	dti_clienteproveedor	TEXT
FDI_TIPODOCUMENTOORIGEN	SMALLINT	dti_tipodocumentoorigen	INTEGER
FDI_STATUSDOCUMENTOORIGEN	SMALLINT	dti_statusdocumentoorigen	INTEGER
FDI_DOCUMENTOORIGEN	VARCHAR(20)	dti_documentoorigen	TEXT
FDI_LINEAORIGEN	AUTOINC	dti_lineaorigen	INTEGER
FDI_CLASIFICACION	AUTOINC	dti_clasificacion	INTEGER
FDI_STATUS	AUTOINC	dti_status	INTEGER
FDI_VISIBLE	BOOLEAN	dti_visible	INTEGER
FDI_COSTO	FLOAT	dti_costo	REAL
FDI_CANTIDAD	FLOAT	dti_cantidad	REAL
FDI_CANTIDADPENDIENTE	FLOAT	dti_cantidadpendiente	REAL
FDI_LOTE	VARCHAR(100)	dti_lote	TEXT
FDI_LOTERANDOM	AUTOINC	dti_loterandom	INTEGER
FDI_NEWLOTE	BOOLEAN	dti_newlote	INTEGER
FDI_DEPOSITOSOURCE	AUTOINC	dti_depositosource	INTEGER
FDI_DEPOSITOTARGET	AUTOINC	dti_depositotarget	INTEGER
FDI_OPERACION_AUTOINCREMENT	AUTOINC	dti_operacion_autoincrement	INTEGER
FDI_DECIMALES	BOOLEAN	dti_decimales	INTEGER
FDI_DECIMALESPEN	BOOLEAN	dti_decimalespen	INTEGER
FDI_SERIALNUMBER	AUTOINC	dti_serialnumber	INTEGER
FDI_USASERIALES	BOOLEAN	dti_usaseriales	INTEGER
FDI_USADEPOSITOS	BOOLEAN	dti_usadepositos	INTEGER
FDI_COSTOOPERACION	FLOAT	dti_costooperacion	REAL
FDI_MEMODETALLE	LONGVARCHAR	dti_memodetalle	TEXT
FDI_MONEDA	AUTOINC	dti_moneda	INTEGER
FDI_FACTORCAMBIO	FLOAT	dti_factorcambio	REAL
FDI_DETALLECOSTOSIMPORTACIO	LONGVARBINARY	dti_detallecostosimportacio	TEXT
FDI_DETALLEPLANILLAIMPORTAC	LONGVARBINARY	dti_detalleplanillaimportac	TEXT
FDI_EXISTEDETALLEIMPORTACIO	BOOLEAN	dti_existedetalleimportacio	INTEGER
FDI_EXISTEDETALLEDECOSTOS	BOOLEAN	dti_existedetalledecostos	INTEGER
FDI_ALICUOTAFLETEOTROS	FLOAT	dti_alicuotafleteotros	REAL
FDI_IMPUESTO1	FLOAT	dti_impuesto1	REAL
FDI_PORCENTIMPUESTO1	BOOLEAN	dti_porcentimpuesto1	INTEGER
FDI_MONTOIMPUESTO1	FLOAT	dti_montoimpuesto1	REAL
FDI_IMPUESTO2	FLOAT	dti_impuesto2	REAL
FDI_PORCENTIMPUESTO2	BOOLEAN	dti_porcentimpuesto2	INTEGER
FDI_MONTOIMPUESTO2	FLOAT	dti_montoimpuesto2	REAL
FDI_ORIGENPRICE	AUTOINC	dti_origenprice	INTEGER
FDI_PORCENTDESCPARCIAL	FLOAT	dti_porcentdescparcial	REAL
FDI_DESCUENTOPARCIAL	FLOAT	dti_descuentoparcial	REAL
FDI_PRECIOSINDESCUENTO	FLOAT	dti_preciosindescuento	REAL
FDI_PRECIOCONDESCUENTO	FLOAT	dti_preciocondescuento	REAL
FDI_PRECIODEVENTA	FLOAT	dti_preciodeventa	REAL
FDI_ROUNDDESCTPARCIAL	AUTOINC	dti_rounddesctparcial	INTEGER
FDI_COMISIONFIJA	FLOAT	dti_comisionfija	REAL
FDI_COMISIONFIJAP	BOOLEAN	dti_comisionfijap	INTEGER
FDI_UNDDESCARGA	FLOAT	dti_unddescarga	REAL
FDI_UNDCAPACIDAD	FLOAT	dti_undcapacidad	REAL
FDI_UNDDETALLADA	BOOLEAN	dti_unddetallada	INTEGER
FDI_INDEXPRICES	AUTOINC	dti_indexprices	INTEGER
FDI_PARTESUSANSERIALES	BOOLEAN	dti_partesusanseriales	INTEGER
FDI_COSTODEVENTAS	FLOAT	dti_costodeventas	REAL
FDI_DESCRIPCIONOFERTA	VARCHAR(100)	dti_descripcionoferta	TEXT
FDI_VENDEDORASIGNADO	VARCHAR(50)	dti_vendedorasignado	TEXT
FDI_MONTOCOMISION	FLOAT	dti_montocomision	REAL
FDI_PRECIOBASECOMISION	FLOAT	dti_preciobasecomision	REAL
FDI_COMISIONBLOQUEADA	BOOLEAN	dti_comisionbloqueada	INTEGER
FDI_COMISIONYAPAGADA	BOOLEAN	dti_comisionyapagada	INTEGER
FDI_DOCUMENTOLIBERACION	VARCHAR(20)	dti_documentoliberacion	TEXT
FDI_TIPODECOMISION	AUTOINC	dti_tipodecomision	INTEGER
FDI_PRICEFORCOMISION	AUTOINC	dti_priceforcomision	INTEGER
FDI_FECHAOPERACION	DATE	dti_fechaoperacion	TEXT
FDI_USER	AUTOINC	dti_user	INTEGER
FDI_PORCENTDESCUENTO1	FLOAT	dti_porcentdescuento1	REAL
FDI_PORCENTDESCUENTO2	FLOAT	dti_porcentdescuento2	REAL
FDI_COSTOSUPDATE	BOOLEAN	dti_costosupdate	INTEGER
BASE_AUTOINCREMENT	AUTOINC	base_autoincrement	INTEGER
FDI_TOTALPESO	FLOAT	dti_totalpeso	REAL
FDI_CTOCOSTO	AUTOINC	dti_ctocosto	INTEGER
FDI_AUTORIZADO	VARCHAR(10)	dti_autorizado	TEXT
FDI_MARKPERIODO	BOOLEAN	dti_markperiodo	INTEGER
FDI_CTOCOSTOSTR	VARCHAR(30)	dti_ctocostostr	TEXT
FDI_COSTOACTUALNACIONAL	FLOAT	dti_costoactualnacional	REAL
FDI_COSTOACTUALEXT	FLOAT	dti_costoactualext	REAL
FDI_PREFIXINVENTARIO	VARCHAR(10)	dti_prefixinventario	TEXT
FDI_COSTOAJUSTADO	FLOAT	dti_costoajustado	REAL
FDI_FECHALIBRO	DATE	dti_fechalibro	TEXT
