Source Inventory Table Structure SOperacionInv		Destination Inventory Table Structure ark_transacciones
Column name	Data type	Column name	Data type
FTI_AUTOINCREMENT	AUTOINC NOT NULL PRIMARY KEY	trn_autoincrement	INTEGER PRIMARY KEY AUTOINCREMENT
FTI_DOCUMENTO	VARCHAR(30) NOT NULL	trn_documento	TEXT NOT NULL
FTI_TIPO	AUTOINC NOT NULL	trn_tipo	INTEGER NOT NULL
FTI_STATUS	AUTOINC	trn_status	INTEGER
FTI_VISIBLE	BOOLEAN	trn_visible	INTEGER
FTI_FECHAEMISION	TIMESTAMP	trn_fechaemision	TEXT
FTI_DEPOSITOSOURCE	AUTOINC	trn_depositosource	INTEGER
FTI_DEPOSITODESTINO	AUTOINC	trn_depositodestino	INTEGER
FTI_TOTALITEMS	AUTOINC	trn_totalitems	INTEGER
FTI_TOTALITEMSINICIAL	AUTOINC	trn_totalitemsinicial	INTEGER
FTI_MONEDA	AUTOINC	trn_moneda	INTEGER
FTI_FACTORCAMBIO	FLOAT	trn_factorcambio	REAL
FTI_TOTALCOSTO	FLOAT	trn_totalcosto	REAL
FTI_TOTALCOSTOREAL	FLOAT	trn_totalcostoreal	REAL
FTI_CLASIFICACION	AUTOINC	trn_clasificacion	INTEGER
FTI_DESCRIPCLASIFY	VARCHAR(80)	trn_descripclasify	TEXT
FTI_USER	AUTOINC	trn_user	INTEGER
FTI_AUTORIZADOPOR	VARCHAR(100)	trn_autorizadopor	TEXT
FTI_PROPOSITO	VARCHAR(50)	trn_proposito	TEXT
FTI_RESPONSABLE	VARCHAR(100)	trn_responsable	TEXT
FTI_DETALLE	LONGVARCHAR	trn_detalle	TEXT
FTI_TIENELOTES	BOOLEAN	trn_tienelotes	INTEGER
FTI_UPDATEITEMS	BOOLEAN	trn_updateitems	INTEGER
FTI_TOTALBRUTO	FLOAT	trn_totalbruto	REAL
FTI_DESCUENTO1PORCENT	FLOAT	trn_descuento1porcent	REAL
FTI_DESCUENTO1MONTO	FLOAT	trn_descuento1monto	REAL
FTI_DESCUENTO1ORIGEN	SMALLINT	trn_descuento1origen	INTEGER
FTI_DESCUENTO2PORCENT	FLOAT	trn_descuento2porcent	REAL
FTI_DESCUENTO2MONTO	FLOAT	trn_descuento2monto	REAL
FTI_DESCUENTO2ORIGEN	SMALLINT	trn_descuento2origen	INTEGER
FTI_DESCUENTOPARCIAL	FLOAT	trn_descuentoparcial	REAL
FTI_FLETEPORCENT	FLOAT	trn_fleteporcent	REAL
FTI_FLETEMONEDA	FLOAT	trn_fletemoneda	REAL
FTI_FLETEORIGEN	SMALLINT	trn_fleteorigen	INTEGER
FTI_BASEIMPONIBLE	FLOAT	trn_baseimponible	REAL
FTI_BASEIMPONIBLE2	FLOAT	trn_baseimponible2	REAL
FTI_IMPUESTO1PORCENT	FLOAT	trn_impuesto1porcent	REAL
FTI_IMPUESTO1MONTO	FLOAT	trn_impuesto1monto	REAL
FTI_IMPUESTO2PORCENT	FLOAT	trn_impuesto2porcent	REAL
FTI_IMPUESTO2MONTO	FLOAT	trn_impuesto2monto	REAL
FTI_DESCUENTOCUADRE	FLOAT	trn_descuentocuadre	REAL
FTI_TOTALNETO	FLOAT	trn_totalneto	REAL
FTI_FECHAVENCIDO	DATE	trn_fechavencido	TEXT
FTI_DIASVENCIMIENTO	AUTOINC	trn_diasvencimiento	INTEGER
FTI_RIFCLIENTE	VARCHAR(50)	trn_rifcliente	TEXT
FTI_NITCLIENTE	VARCHAR(50)	trn_nitcliente	TEXT
FTI_PERSONACONTACTO	VARCHAR(100)	trn_personacontacto	TEXT
FTI_TELEFONOCONTACTO	VARCHAR(100)	trn_telefonocontacto	TEXT
FTI_DIRECCIONDESPACHO	LONGVARCHAR	trn_direcciondespacho	TEXT
FTI_DETALLECOMENTARIO	LONGVARCHAR	trn_detallecomentario	TEXT
FTI_ORDENCOMPRA	VARCHAR(50)	trn_ordencompra	TEXT
FTI_PLANILLAIMPORTACION	LONGVARBINARY	trn_planillaimportacion	TEXT
FTI_EXISTEPLANILLAIMPORTACION	BOOLEAN	trn_existeplanillaimportacion	INTEGER
FTI_PORCENTFLETESINASIGNAR	FLOAT	trn_porcentfletesinasignar	REAL
FTI_SALDOOPERACION	FLOAT	trn_saldooperacion	REAL
FTI_MONEDAPAGO	AUTOINC	trn_monedapago	INTEGER
FTI_FORMADEPAGO	LONGVARBINARY	trn_formadepago	TEXT
FTI_TOTALPRECIO	FLOAT	trn_totalprecio	REAL
FTI_VUELTO	FLOAT	trn_vuelto	REAL
FTI_AUTORIZADOS	AUTOINC	trn_autorizados	INTEGER
FTI_EXCENTO	BOOLEAN	trn_excento	INTEGER
FTI_COSTODEVENTA	FLOAT	trn_costodeventa	REAL
FTI_TIPOOPERACIONORIGEN	AUTOINC	trn_tipooperacionorigen	INTEGER
FTI_DOCUMENTOORIGEN	VARCHAR(30)	trn_documentoorigen	TEXT
FTI_FROMCOMPUESTOS	BOOLEAN	trn_fromcompuestos	INTEGER
FTI_VENDEDORASIGNADO	VARCHAR(50)	trn_vendedorasignado	TEXT
FTI_ZONAVENTA	VARCHAR(25)	trn_zonaventa	TEXT
FTI_PENDINGFORPRINT	BOOLEAN	trn_pendingforprint	INTEGER
FTI_COBRADORASIGNADO	VARCHAR(50)	trn_cobradorasignado	TEXT
FTI_COMISIONCOBROS	FLOAT	trn_comisioncobros	REAL
FTI_COMISIONCOBROSBLOQUEADA	BOOLEAN	trn_comisioncobrosbloqueada	INTEGER
FTI_FACTURASLOTERANDOM	VARCHAR(20)	trn_facturasloterandom	TEXT
FTI_MULTIPLEVENDEDOR	BOOLEAN	trn_multiplevendedor	INTEGER
FTI_MULTIPLEDEPOSITO	BOOLEAN	trn_multipledeposito	INTEGER
FTI_TIMESAVED	AUTOINC	trn_timesaved	INTEGER
FTI_TIPOPRECIO	AUTOINC	trn_tipoprecio	INTEGER
BASE_AUTOINCREMENT	AUTOINC	base_autoincrement	INTEGER
FTI_SERIE	VARCHAR(20)	trn_serie	TEXT
FTI_NAMEFORMATO	VARCHAR(50)	trn_nameformato	TEXT
FTI_MACHINENAME	VARCHAR(50)	trn_machinename	TEXT
FTI_COMISIONVENTA	FLOAT	trn_comisionventa	REAL
FTI_MONTOPAGADO	FLOAT	trn_montopagado	REAL
FTI_MONTOPERIODO	FLOAT	trn_montoperiodo	REAL
FTI_PORCENTPERIODO	FLOAT	trn_porcentperiodo	REAL
FTI_HORA	TIME	trn_hora	TEXT
FTI_GUIADESPACHO	VARCHAR(10)	trn_guiadespacho	TEXT
FTI_NORECIBOCAJA	VARCHAR(10)	trn_norecibocaja	TEXT
FTI_CTOCOSTO	VARCHAR(30)	trn_ctocosto	TEXT
FTI_COSTOACTUALNACIONAL	FLOAT	trn_costoactualnacional	REAL
FTI_COSTOACTUALEX	FLOAT	trn_costoactualex	REAL
FTI_PREFIXINVENTARIO	VARCHAR(10)	trn_prefixinventario	TEXT
FTI_NUMEROCONTROL	VARCHAR(15)	trn_numerocontrol	TEXT
FTI_COSTOAJUSTADO	FLOAT	trn_costoajustado	REAL
FTI_FACTORREFERENCIA	FLOAT	trn_factorreferencia	REAL
FTI_FINICIAL	FLOAT	trn_finicial	REAL
FTI_FINTERESES	FLOAT	trn_fintereses	REAL
FTI_FINTERESESP	FLOAT	trn_finteresesp	REAL
FTI_FMANEJO	FLOAT	trn_fmanejo	REAL
FTI_FMANEJOP	FLOAT	trn_fmanejop	REAL
FTI_FEXTRAORDINARIA	FLOAT	trn_fextraordinaria	REAL
FTI_FCTDEXTRAORDINARIA	AUTOINC	trn_fctdextraordinaria	INTEGER
FTI_FINTEXTRAORDINARIA	FLOAT	trn_fintextraordinaria	REAL
FTI_FMTOCUOTA	FLOAT	trn_fmtocuota	REAL
FTI_FCTDCUOTA	AUTOINC	trn_fctdcuota	INTEGER
FTI_FCOBRANZA	FLOAT	trn_fcobranza	REAL
FTI_TOTALFINANCIADO	FLOAT	trn_totalfinanciado	REAL
FTI_DETALLEGIROS	LONGVARBINARY	trn_detallegiros	TEXT
FTI_SALDOFINANCIAR	FLOAT	trn_saldofinanciar	REAL
FTI_PRIMERACUOTA	DATE	trn_primeracuota	TEXT
FTI_CAPITALCUOTAEXTRA	FLOAT	trn_capitalcuotaextra	REAL
FTI_CREDICARD	LONGVARCHAR	trn_credicard	TEXT
FTI_MAQUINAFISCAL	VARCHAR(50)	trn_maquinafiscal	TEXT
FTI_TOTALPAGINAS	AUTOINC	trn_totalpaginas	INTEGER
FTI_SUCURSALORIGEN	SMALLINT	trn_sucursalorigen	INTEGER
FTI_FECHALIBRO	TIMESTAMP	trn_fechalibro	TEXT
FTI_IVAINTERESES	FLOAT	trn_ivaintereses	REAL
FTI_REIMPRESAFISCAL	BOOLEAN	trn_reimpresafiscal	INTEGER
FTI_DCTOFISCALORIGEN	VARCHAR(50)	trn_dctofiscalorigen	TEXT
FTI_FECHAFACTURA	DATE	trn_fechafactura	TEXT
FTI_DCTOIVA	FLOAT	trn_dctoiva	REAL
FTI_MONEDACAMBIO	VARCHAR(10)	trn_monedacambio	TEXT
FTI_TIPOFACTORCAMBIO	SMALLINT	trn_tipofactorcambio	INTEGER
FTI_ORIGENCAMBIO	SMALLINT	trn_origencambio	INTEGER
FTI_FACTORVUELTO	FLOAT	trn_factorvuelto	REAL
FTI_CODECAMBIO	VARCHAR(10)	trn_codecambio	TEXT
FTI_VUELTOORG	FLOAT	trn_vueltoorg	REAL
FTI_VTANAPAGO	SMALLINT	trn_vtanapago	INTEGER
FTI_FACTORREFERENCIA2	FLOAT	trn_factorreferencia2	REAL
FTI_MULTIVUELTO	LONGVARBINARY	trn_multivuelto	TEXT
FTI_EXTRAFIELD01	VARCHAR(40)	trn_extrafield01	TEXT
FTI_EXTRAFIELD02	VARCHAR(40)	trn_extrafield02	TEXT
FTI_EXTRAFIELD03	VARCHAR(40)	trn_extrafield03	TEXT
FTI_EXTRAFIELD04	VARCHAR(40)	trn_extrafield04	TEXT
FTI_EXTRAFIELD05	VARCHAR(250)	trn_extrafield05	TEXT
FTI_BASEIGTF	FLOAT	trn_baseigtf	REAL
FTI_EXTRAFIELD06	VARCHAR(250)	trn_extrafield06	TEXT
FTI_IMPRENTAASIGNACION	VARCHAR(15)	trn_imprentaasignacion	TEXT
FTI_IMPRENTAHORA	VARCHAR(15)	trn_imprentahora	TEXT
FTI_STATUSIMPRENTA	SMALLINT	trn_statusimprenta	INTEGER
FTI_IMPRENTADOCORIGEN	VARCHAR(15)	trn_imprentadocorigen	TEXT
FTI_IMPRENTAMOTIVO	VARCHAR(255)	trn_imprentamotivo	TEXT
FTI_IMPRENTAFECHAORIGEN	DATE	trn_imprentafechaorigen	TEXT
FTI_IMPRENTASERIEORIGEN	VARCHAR(15)	trn_imprentaserieorigen	TEXT
FTI_IMPRENTAMTOORIGEN	FLOAT	trn_imprentamtoorigen	REAL
FTI_MTOOTROSCARGOS	FLOAT	trn_mtootroscargos	REAL
