FTI_AUTOINCREMENT             AUTOINC NOT NULL PRIMARY KEY
FTI_DOCUMENTO                 VARCHAR(30) NOT NULL
FTI_TIPO                      AUTOINC NOT NULL
FTI_STATUS                    AUTOINC
FTI_VISIBLE                   BOOLEAN
FTI_FECHAEMISION              TIMESTAMP
FTI_DEPOSITOSOURCE            AUTOINC
FTI_DEPOSITODESTINO           AUTOINC
FTI_TOTALITEMS                AUTOINC
FTI_TOTALITEMSINICIAL         AUTOINC
FTI_MONEDA                    AUTOINC
FTI_FACTORCAMBIO              FLOAT
FTI_TOTALCOSTO                FLOAT
FTI_TOTALCOSTOREAL            FLOAT
FTI_CLASIFICACION             AUTOINC
FTI_DESCRIPCLASIFY            VARCHAR(80)
FTI_USER                      AUTOINC
FTI_AUTORIZADOPOR             VARCHAR(100)
FTI_PROPOSITO                 VARCHAR(50)
FTI_RESPONSABLE               VARCHAR(100)
FTI_DETALLE                   LONGVARCHAR
FTI_TIENELOTES                BOOLEAN
FTI_UPDATEITEMS               BOOLEAN
FTI_TOTALBRUTO                FLOAT
FTI_DESCUENTO1PORCENT         FLOAT
FTI_DESCUENTO1MONTO           FLOAT
FTI_DESCUENTO1ORIGEN          SMALLINT
FTI_DESCUENTO2PORCENT         FLOAT
FTI_DESCUENTO2MONTO           FLOAT
FTI_DESCUENTO2ORIGEN          SMALLINT
FTI_DESCUENTOPARCIAL          FLOAT
FTI_FLETEPORCENT              FLOAT
FTI_FLETEMONEDA               FLOAT
FTI_FLETEORIGEN               SMALLINT
FTI_BASEIMPONIBLE             FLOAT
FTI_BASEIMPONIBLE2            FLOAT
FTI_IMPUESTO1PORCENT          FLOAT
FTI_IMPUESTO1MONTO            FLOAT
FTI_IMPUESTO2PORCENT          FLOAT
FTI_IMPUESTO2MONTO            FLOAT
FTI_DESCUENTOCUADRE           FLOAT
FTI_TOTALNETO                 FLOAT
FTI_FECHAVENCIDO              DATE
FTI_DIASVENCIMIENTO           AUTOINC
FTI_RIFCLIENTE                VARCHAR(50)
FTI_NITCLIENTE                VARCHAR(50)
FTI_PERSONACONTACTO           VARCHAR(100)
FTI_TELEFONOCONTACTO          VARCHAR(100)
FTI_DIRECCIONDESPACHO         LONGVARCHAR
FTI_DETALLECOMENTARIO         LONGVARCHAR
FTI_ORDENCOMPRA               VARCHAR(50)
FTI_PLANILLAIMPORTACION       LONGVARBINARY
FTI_EXISTEPLANILLAIMPORTACION BOOLEAN
FTI_PORCENTFLETESINASIGNAR    FLOAT
FTI_SALDOOPERACION            FLOAT
FTI_MONEDAPAGO                AUTOINC
FTI_FORMADEPAGO               LONGVARBINARY
FTI_TOTALPRECIO               FLOAT
FTI_VUELTO                    FLOAT
FTI_AUTORIZADOS               AUTOINC
FTI_EXCENTO                   BOOLEAN
FTI_COSTODEVENTA              FLOAT
FTI_TIPOOPERACIONORIGEN       AUTOINC
FTI_DOCUMENTOORIGEN           VARCHAR(30)
FTI_FROMCOMPUESTOS            BOOLEAN
FTI_VENDEDORASIGNADO          VARCHAR(50)
FTI_ZONAVENTA                 VARCHAR(25)
FTI_PENDINGFORPRINT           BOOLEAN
FTI_COBRADORASIGNADO          VARCHAR(50)
FTI_COMISIONCOBROS            FLOAT
FTI_COMISIONCOBROSBLOQUEADA   BOOLEAN
FTI_FACTURASLOTERANDOM        VARCHAR(20)
FTI_MULTIPLEVENDEDOR          BOOLEAN
FTI_MULTIPLEDEPOSITO          BOOLEAN
FTI_TIMESAVED                 AUTOINC
FTI_TIPOPRECIO                AUTOINC
BASE_AUTOINCREMENT            AUTOINC
FTI_SERIE                     VARCHAR(20)
FTI_NAMEFORMATO               VARCHAR(50)
FTI_MACHINENAME               VARCHAR(50)
FTI_COMISIONVENTA             FLOAT
FTI_MONTOPAGADO               FLOAT
FTI_MONTOPERIODO              FLOAT
FTI_PORCENTPERIODO            FLOAT
FTI_HORA                      TIME
FTI_GUIADESPACHO              VARCHAR(10)
FTI_NORECIBOCAJA              VARCHAR(10)
FTI_CTOCOSTO                  VARCHAR(30)
FTI_COSTOACTUALNACIONAL       FLOAT
FTI_COSTOACTUALEX             FLOAT
FTI_PREFIXINVENTARIO          VARCHAR(10)
FTI_NUMEROCONTROL             VARCHAR(15)
FTI_COSTOAJUSTADO             FLOAT
FTI_FACTORREFERENCIA          FLOAT
FTI_FINICIAL                  FLOAT
FTI_FINTERESES                FLOAT
FTI_FINTERESESP               FLOAT
FTI_FMANEJO                   FLOAT
FTI_FMANEJOP                  FLOAT
FTI_FEXTRAORDINARIA           FLOAT
FTI_FCTDEXTRAORDINARIA        AUTOINC
FTI_FINTEXTRAORDINARIA        FLOAT
FTI_FMTOCUOTA                 FLOAT
FTI_FCTDCUOTA                 AUTOINC
FTI_FCOBRANZA                 FLOAT
FTI_TOTALFINANCIADO           FLOAT
FTI_DETALLEGIROS              LONGVARBINARY
FTI_SALDOFINANCIAR            FLOAT
FTI_PRIMERACUOTA              DATE
FTI_CAPITALCUOTAEXTRA         FLOAT
FTI_CREDICARD                 LONGVARCHAR
FTI_MAQUINAFISCAL             VARCHAR(50)
FTI_TOTALPAGINAS              AUTOINC
FTI_SUCURSALORIGEN            SMALLINT
FTI_FECHALIBRO                TIMESTAMP
FTI_IVAINTERESES              FLOAT
FTI_REIMPRESAFISCAL           BOOLEAN
FTI_DCTOFISCALORIGEN          VARCHAR(50)
FTI_FECHAFACTURA              DATE
FTI_DCTOIVA                   FLOAT
FTI_MONEDACAMBIO              VARCHAR(10)
FTI_TIPOFACTORCAMBIO          SMALLINT
FTI_ORIGENCAMBIO              SMALLINT
FTI_FACTORVUELTO              FLOAT
FTI_CODECAMBIO                VARCHAR(10)
FTI_VUELTOORG                 FLOAT
FTI_VTANAPAGO                 SMALLINT
FTI_FACTORREFERENCIA2         FLOAT
FTI_MULTIVUELTO               LONGVARBINARY
FTI_EXTRAFIELD01              VARCHAR(40)
FTI_EXTRAFIELD02              VARCHAR(40)
FTI_EXTRAFIELD03              VARCHAR(40)
FTI_EXTRAFIELD04              VARCHAR(40)
FTI_EXTRAFIELD05              VARCHAR(250)
FTI_BASEIGTF                  FLOAT
FTI_EXTRAFIELD06              VARCHAR(250)
FTI_IMPRENTAASIGNACION        VARCHAR(15)
FTI_IMPRENTAHORA              VARCHAR(15)
FTI_STATUSIMPRENTA            SMALLINT
FTI_IMPRENTADOCORIGEN         VARCHAR(15)
FTI_IMPRENTAMOTIVO            VARCHAR(255)
FTI_IMPRENTAFECHAORIGEN       DATE
FTI_IMPRENTASERIEORIGEN       VARCHAR(15)
FTI_IMPRENTAMTOORIGEN         FLOAT
FTI_MTOOTROSCARGOS            FLOAT
);
