No	ark_detalletranvtas	No	SDetalleVtas	Sistema	Values
1	dtc_Idauto	NO APLICA		Auto Incremental	?,
2	dtc_uo_id	NO APLICA		uo_id	?,
3	dtc_uo_Codigo	NO APLICA		ark_unds_operativas.uo_Codigo	?,
4	dtc_tipooperacion	1	FDI_TIPOOPERACION		?,
5	dtc_codigo	2	FDI_CODIGO		?,
6	dtc_linea	3	FDI_LINEA		?,
7	dtc_documento	4	FDI_DOCUMENTO		?,
8	dtc_autoincrement	5	FDI_AUTOINCREMENT		?,
9	dtc_clienteproveedor	6	FDI_CLIENTEPROVEEDOR		?,
10	dtc_tipodocumentoorigen	7	FDI_TIPODOCUMENTOORIGEN		?,
11	dtc_statusdocumentoorigen	8	FDI_STATUSDOCUMENTOORIGEN		?,
12	dtc_documentoorigen	9	FDI_DOCUMENTOORIGEN		?,
13	dtc_lineaorigen	10	FDI_LINEAORIGEN		?,
14	dtc_clasificacion	11	FDI_CLASIFICACION		?,
15	dtc_status	12	FDI_STATUS		?,
16	dtc_visible	13	FDI_VISIBLE		?,
17	dtc_costo	14	FDI_COSTO		?,
18	dtc_cantidad	15	FDI_CANTIDAD		?,
19	dtc_cantidadpendiente	16	FDI_CANTIDADPENDIENTE		?,
20	dtc_lote	17	FDI_LOTE		?,
21	dtc_loterandom	18	FDI_LOTERANDOM		?,
22	dtc_newlote	19	FDI_NEWLOTE		?,
23	dtc_depositosource	20	FDI_DEPOSITOSOURCE		?,
24	dtc_depositotarget	21	FDI_DEPOSITOTARGET		?,
25	dtc_operacion_autoincrement	22	FDI_OPERACION_AUTOINCREMENT		?,
26	dtc_decimales	23	FDI_DECIMALES		?,
27	dtc_decimalespen	24	FDI_DECIMALESPEN		?,
28	dtc_serialnumber	25	FDI_SERIALNUMBER		?,
29	dtc_usaseriales	26	FDI_USASERIALES		?,
30	dtc_usadepositos	27	FDI_USADEPOSITOS		?,
31	dtc_costooperacion	28	FDI_COSTOOPERACION		?,
32	dtc_memodetalle	29	FDI_MEMODETALLE		?,
