No	ark_detalletraninv	No	SDetalleInv	Sistema	Values
1	dti_Idauto	NO APLICA		Auto Incremental	?,
2	dti_uo_id	NO APLICA		uo_id	?,
3	dti_uo_Codigo	NO APLICA		ark_unds_operativas.uo_Codigo	?,
4	dti_tipooperacion	1	FDI_TIPOOPERACION		?,
5	dti_codigo	2	FDI_CODIGO		?,
6	dti_linea	3	FDI_LINEA		?,
7	dti_documento	4	FDI_DOCUMENTO		?,
8	dti_autoincrement	5	FDI_AUTOINCREMENT		?,
9	dti_clienteproveedor	6	FDI_CLIENTEPROVEEDOR		?,
10	dti_tipodocumentoorigen	7	FDI_TIPODOCUMENTOORIGEN		?,
11	dti_statusdocumentoorigen	8	FDI_STATUSDOCUMENTOORIGEN		?,
12	dti_documentoorigen	9	FDI_DOCUMENTOORIGEN		?,
13	dti_lineaorigen	10	FDI_LINEAORIGEN		?,
14	dti_clasificacion	11	FDI_CLASIFICACION		?,
15	dti_status	12	FDI_STATUS		?,
16	dti_visible	13	FDI_VISIBLE		?,
17	dti_costo	14	FDI_COSTO		?,
18	dti_cantidad	15	FDI_CANTIDAD		?,
19	dti_cantidadpendiente	16	FDI_CANTIDADPENDIENTE		?,
20	dti_lote	17	FDI_LOTE		?,
21	dti_loterandom	18	FDI_LOTERANDOM		?,
22	dti_newlote	19	FDI_NEWLOTE		?,
23	dti_depositosource	20	FDI_DEPOSITOSOURCE		?,
24	dti_depositotarget	21	FDI_DEPOSITOTARGET		?,
25	dti_operacion_autoincrement	22	FDI_OPERACION_AUTOINCREMENT		?,
26	dti_decimales	23	FDI_DECIMALES		?,
27	dti_decimalespen	24	FDI_DECIMALESPEN		?,
28	dti_serialnumber	25	FDI_SERIALNUMBER		?,
29	dti_usaseriales	26	FDI_USASERIALES		?,
30	dti_usadepositos	27	FDI_USADEPOSITOS		?,
31	dti_costooperacion	28	FDI_COSTOOPERACION		?,
32	dti_memodetalle	29	FDI_MEMODETALLE		?,
33	dti_moneda	30	FDI_MONEDA		?,
34	dti_factorcambio	31	FDI_FACTORCAMBIO		?,
35	dti_detallecostosimportacion	32	FDI_DETALLECOSTOSIMPORTACION		?,
36	dti_detalleplanillaimportacion	33	FDI_DETALLEPLANILLAIMPORTACION		?,
37	dti_existedetalleimportacion	34	FDI_EXISTEDETALLEIMPORTACION		?,
38	dti_existedetalledecostos	35	FDI_EXISTEDETALLEDECOSTOS		?,
39	dti_alicuotafleteotros	36	FDI_ALICUOTAFLETEOTROS		?,
40	dti_impuesto1	37	FDI_IMPUESTO1		?,
41	dti_porcentimpuesto1	38	FDI_PORCENTIMPUESTO1		?,
42	dti_montoimpuesto1	39	FDI_MONTOIMPUESTO1		?,
43	dti_impuesto2	40	FDI_IMPUESTO2		?,
44	dti_porcentimpuesto2	41	FDI_PORCENTIMPUESTO2		?,
45	dti_montoimpuesto2	42	FDI_MONTOIMPUESTO2		?,
46	dti_origenprice	43	FDI_ORIGENPRICE		?,
47	dti_porcentdescparcial	44	FDI_PORCENTDESCPARCIAL		?,
48	dti_descuentoparcial	45	FDI_DESCUENTOPARCIAL		?,
49	dti_preciosindescuento	46	FDI_PRECIOSINDESCUENTO		?,
50	dti_preciocondescuento	47	FDI_PRECIOCONDESCUENTO		?,
51	dti_preciodeventa	48	FDI_PRECIODEVENTA		?,
52	dti_rounddesctparcial	49	FDI_ROUNDDESCTPARCIAL		?,
53	dti_comisionfija	50	FDI_COMISIONFIJA		?,
54	dti_comisionfijap	51	FDI_COMISIONFIJAP		?,
55	dti_unddescarga	52	FDI_UNDDESCARGA		?,
56	dti_undcapacidad	53	FDI_UNDCAPACIDAD		?,
57	dti_unddetallada	54	FDI_UNDDETALLADA		?,
58	dti_indexprices	55	FDI_INDEXPRICES		?,
59	dti_partesusanseriales	56	FDI_PARTESUSANSERIALES		?,
60	dti_costodeventas	57	FDI_COSTODEVENTAS		?,
61	dti_descripcionoferta	58	FDI_DESCRIPCIONOFERTA		?,
62	dti_vendedorasignado	59	FDI_VENDEDORASIGNADO		?,
63	dti_montocomision	60	FDI_MONTOCOMISION		?,
64	dti_preciobasecomision	61	FDI_PRECIOBASECOMISION		?,
65	dti_comisionbloqueada	62	FDI_COMISIONBLOQUEADA		?,
66	dti_comisionyapagada	63	FDI_COMISIONYAPAGADA		?,
67	dti_documentoliberacion	64	FDI_DOCUMENTOLIBERACION		?,
68	dti_tipodecomision	65	FDI_TIPODECOMISION		?,
69	dti_priceforcomision	66	FDI_PRICEFORCOMISION		?,
70	dti_fechaoperacion	67	FDI_FECHAOPERACION		?,
71	dti_user	68	FDI_USER		?,
72	dti_porcentdescuento1	69	FDI_PORCENTDESCUENTO1		?,
73	dti_porcentdescuento2	70	FDI_PORCENTDESCUENTO2		?,
74	dti_costosupdate	71	FDI_COSTOSUPDATE		?,
75	dti_base_autoincrement	72	BASE_AUTOINCREMENT		?,
76	dti_totalpeso	73	FDI_TOTALPESO		?,
77	dti_ctocosto	74	FDI_CTOCOSTO		?,
78	dti_autorizado	75	FDI_AUTORIZADO		?,
79	dti_markperiodo	76	FDI_MARKPERIODO		?,
80	dti_ctocostostr	77	FDI_CTOCOSTOSTR		?,
81	dti_costoactualnacional	78	FDI_COSTOACTUALNACIONAL		?,
82	dti_costoactualext	79	FDI_COSTOACTUALEXT		?,
83	dti_prefixinventario	80	FDI_PREFIXINVENTARIO		?,
84	dti_costoajustado	81	FDI_COSTOAJUSTADO		?,
85	dti_fechalibro	82	FDI_FECHALIBRO		?,
86	dti_SystemDate	NO APLICA		date.today().isoformat()	?,
87	dti_SystemTime	NO APLICA		"datetime.now().strftime(""%H:%M:%S"")"	?,
88	dti_NameMachine	NO APLICA		get_machine_name	?,
89	dti_UserCreator	NO APLICA		get_current_user()	?,
90	dti_LastUpdateDate	NO APLICA		date.today().isoformat()	?,
91	dti_LastUpdateTime	NO APLICA		"datetime.now().strftime(""%H:%M:%S"")"	?,
92	dti_LastMachine	NO APLICA		get_machine_name	?,
93	dti_UserLastUpdate	NO APLICA		get_current_user()	?
