Columnas devueltas: 52
0: FD_CODIGO
1: FD_DESCRIPCION
2: FD_DESCRIPCIONDETALLADA
3: FD_STATUS
4: FD_PORCENTAJEUTILIDAD1
5: FD_PORCENTAJEUTILIDAD2
6: FD_PORCENTAJEUTILIDAD3
7: FD_PORCENTAJEUTILIDAD4
8: FD_PORCENTAJEUTILIDAD5
9: FD_PORCENTAJEUTILIDAD6
10: FD_COMVTAPRODUCTOS
11: FD_COMCOBROPRODUCTOS
12: FD_CLASIFICACION
13: FD_MANEJOINVENTARIO
14: FD_SERIALES
15: FD_VENCIMIENTO
16: FD_OFERTAS
17: FD_TALLAS_EJEX
18: FD_TALLAS_EJEY
19: FD_NROPRODUCTOS
20: FD_DEPOSITOS
21: FD_PORCENTAJEDESCUENTO1
22: FD_PORCENTAJEDESCUENTO2
23: FD_PORCENTAJEDESCUENTO3
24: FD_PORCENTAJEDESCUENTO4
25: FD_PORCENTAJEDESCUENTO5
26: FD_PORCENTAJEDESCUENTO6
27: FD_TALLAS_DESCRX
28: FD_TALLAS_DESCRY
29: FD_INDEXPORCENT
30: FD_COMISIONVTA1
31: FD_COMISIONVTA2
32: FD_COMISIONVTA3
33: FD_COMISIONVTA4
34: FD_COMISIONVTA5
35: FD_COMISIONVTA6
36: FD_COMISIONCOB1
37: FD_COMISIONCOB2
38: FD_COMISIONCOB3
39: FD_COMISIONCOB4
40: FD_COMISIONCOB5
41: FD_COMISIONCOB6
42: FD_COMISIONVTAMIN
43: FD_COMISIONCOBMIN
44: FD_TOLERANCIA
45: FD_DETALLE_EJEX
46: FD_DETALLE_EJEY
47: FD_PREFIJO
48: BASE_AUTOINCREMENT
49: FD_PSICOTROPICO
50: FD_ARANCEL
51: FD_IMPRESORA
